'File151';'Statement';'Attribute';'Deontic';'Aim';'Direct-Object';'Indirect-Object';'Activation-Condition-Content';'Execution-Constraint-Content'
'Commissioner GCC';'-';'-';'-';'-';'-';'-';'-';'-'
'Indian Tsunami Early Warning Centre (ITEWC)';'-';'-';'-';'-';'-';'-';'-';'-'
'Executive Director Metro Water Chennai';'-';'-';'-';'-';'-';'-';'-';'-'
'Reg-SOP-ReliefCentres-PreRain';'-';'Reg-SOP-ReliefCentres-PreRain';'-';'-';'-';'-';'-';'-'
'002.003';'2.003';'Greater Chennai Corporation';'must';'establish';'an early disaster warning system a public address system';'-';'-';'-'
'002.005';'2.005';'Greater Chennai Corporation';'must';'operate';'complaint helplines';'Zonal Officer';'-';'at each Zone Head-Quarter must function 24/7 during the North East monsoon'
'Reg-CDMP-DDMA';'001';'District Disaster Management Authority (DDMA)';'shall';'prepare';'City Disaster Management Plan (CDMP)';'State Disaster Management Authority (SDMA)';'-';'-'
'Reg-CDMP-SDMA';'001.001';'State Disaster Management Authority (SDMA)';'must';'approve';'City Disaster Management Plan (CDMP)';'-';'-';'-'
'Reg-CDMP-objectives';'002';'City Disaster Management Plan (CDMP) OR Greater Chennai Corporation';'must';'enable / focus / organise';'activities';'-';'-';'-'
'002.001';'002.001';'Greater Chennai Corporation';'must';'get';'weather warning report';'Metrological Department';'-';'-'
'002.002';'002.002';'Greater Chennai Corporation';'must';'establish';'contact centres';'Duty Officer, Area Cyclone Warning centre';'-';'-'
'002.005.02';'002.005.02';'Zonal Officers';'must';'directly answer';'emergency complain numbers';'-';'-';'when the numbers are active'
'002.005.03';'002.005.03';'Zonal Officers';'must';'forward';'complaints';'to relevant departments.';'When Citizens make complaints';'-'
'002.006';'002.006';'Greater Chennai Corporation';'must';'get';'information about disasters';'State Disaster Centre';'-';'-'
'Reg-Tsunami-Alert';'003, 002.004';'Greater Chennai Corporation';'must, (has to)';'receive';'tsunami alert';'Indian Tsunami Early Warning Centre (ITEWC)';'-';'-'
'Con-GCC-AdmStruc';'004';'(Missing)';'-';'-';'-';'-';'-';'-'
'Con-GCC-Commissioner';'004.001';'Constituted Entity:: Commissioner';'-';'-';'-';'-';'-';'-'
'Con-GCC-DepCommissioner';'004.002';'Constituted Entity: Deputy Commissioners';'-';'-';'-';'-';'-';'-'
'Reg-SOP-ddma';'005';'Concerned Departments';'-';'-';'-';'-';'-';'-'
'Reg-ControlRoom-relief';'006';'Control Room';'must';'mobilize';'essential resources for relief';'-';'-';'-'
'Reg-ControlRoom-comms';'006.001';'Control Room';'must';'disseminate or coordinate';'information';'to the public';'-';'-'
'Reg-ReliefCommittee';'007';'Relief Committee';'must';'monitor Disaster Mitigation - 007.001';'-';'-';'-';'-'
'Reg-ReliefCommitee-Functions';'007.001';'ReliefCommittee';'-';'-';'-';'-';'-';'-'
'007.002';'007.002';'Relief Committee';'must';'evict';'encroachments';'-';'-';'-'
'007.003';'007.003';'Relief Committee';'must';'identify';'vulnerable transport infrastructure';'-';'-';'-'
'007.004';'007.004';'Relief Committee';'shall';'identify';'road and areas prone to inundation and traffic congestion due to rainfall';'-';'-';'-'
'007.005';'007.005';'Relief Committee';'must';'identify';'vulnerable areas';'-';'-';'-'
'007.006';'007.006';'Relief Committee';'must';'keep free from encroachments';'drainage channels and also waterways';'-';'-';'from other civic projects'
'007.007';'007.007';'Relief Committee';'must';'develop projects';'for stormwater and interlinking draining systems';'-';'-';'-'
'Reg-ControlRoom1';'008';'(Missing)';'-';'-';'-';'-';'-';'-'
'008.001';'008.001';'Control Room';'must';'be located';'Greater Chennai Corporation';'Headquarters (Ripon Building)';'-';'-'
'008.002';'008.002';'Deputy Commissioner (Works)';'must';'supervise';'Control Room';'with Staff';'-';'-'
'008.003';'008.003';'(Officers of Line Departments)';'must';'pool resources';'Control Room';'-';'during Monsoons OR during Emergencies';'-'
'Reg-ControlRoom-Functions';'009';'Control Room';'must';'Coordinate activities for rescue, relief, and mitigation';'-';'-';'-';'while providing the commissioner with hourly updates'
'009.001';'009.001';'Control Room';'must';'collect rainfall intensity';'Metrological Department';'-';'Daily';'-'
'009.002';'009.002';'Control Room';'must';'submit hourly reports from Zonal Officers';'Commissioner, GCC Commissioner GCC';'-';'(in an emergency)';'Containing (water stagnation, tree fall, status of subways, relief centres, food packets issued, pumps utilized [...], evacuation [...], etc.)'
'009.003';'009.003';'Control Room';'must';'coordination activities related to flood Mitigation';'"Other Departments" (on the Relief Committee?)';'-';'-';'-'
'009.004';'009.004';'Control Room';'must';'get flood status for reservoirs';'Public Works Department';'Reservoirs at';'-';'periodically'
'009.005';'009.005';'Control Room';'must';'form for communication';'a Whatsapp Group';'Officials engaged in flood work';'-';'-'
'009.006';'009.006';'Public Relation Officer';'must';'collect and publish';'Press Releases';'Control Room';'with approval of Commissioner';'-'
'009.007';'009.007';'Control Room';'must';'coordinate with';'Control Rooms at Secretariat, Emergency Operation Center and Commissionerate or Revenue Administration';'-';'-';'-'
'Reg-StateDMA';'010';'State Disaster Management Authority (SDMA)';'must';'coordianate Disaster Response and Mitigation';'-';'-';'-';'“All measures for mitigation, preparedness, response and recovery are undertaken under the guidance and supervision of the Authority.'
'Con-CDMP';'011';'Constituted Entity: The City Disaster Management Plan';'-';'-';'-';'-';'-';'-'
'Reg-SEC';'012';'State Executive Committee';'must';'establish disaster specific cells to analyse the risk profile';'Disaster Risk Reduction Strategies';'SDMA';'-';'approved by SDMA'
'Con-StateReliefCommissioner';'013';'State Relief Commissioner';'-';'-';'-';'-';'-';'-'
'014.001';'013.001';'SDMA, State Executive Committee and the Commissioner of Revenue Administration';'must';'give policy approvals and instructions';'013';'-';'-';'-'
'Reg-StatePolicy';'014';'Revenue Administration and Disaster Management Department';'must';'issue Government Orders and publish policy,';'Government Orders';'-';'when given approval by the SDMA, State Executive Committee and the Commissioner of Revenue Administration';'Revenue Administration and Disaster Management Department'
'Con-SAC';'015';'Constituted Entity: State Advisory Committee';'-';'-';'-';'-';'-';'-'
'Reg-ControlRoom-SEOC';'016';'Control Room';'must';'Communicate information recieved';'from SEOC (sic) (SEC?)';'-';'-';'-'
'Reg-ControlRoom-Reporting';'017';'Control Room';'must';'communicate updates to the';'Commissioner of Revenue Administration';'-';'-';'-'
'017.001';'017.001';'"Line Departments in Chennai" (Departments of State? or GCC?)';'must';'depute staff to Control Room';'-';'-';'-';'to ensure 24/7 staffing'
'018';'018';'Fire and Rescue Services Department';'must';'undertake rescue activities';'for people marooned in flood or debris';'-';'-';'-'
'019';'019';'State Disaster Response Force';'will';'receive? perform training of police and fire services in disaster relief.';'police and fire services';'-';'-';'-'
'019.001';'019.001';'Greater Chennai Corporation';'will';'request assistance';'TNDRF';'-';'-';'-'
'020';'020';'Greater Chennai Corporation';'must';'maintain';'a database of volunteers and NGOs';'-';'-';'who can support relief work, who know skills like climbing and swimming'
'Reg-CivilDefence';'021';'State Government - State Disaster Management Authority (SDMA)';'must';'establish';'Civil Defence Corps';'connected to NCC, NSS, NyKS';'-';'-'
'Reg-CoordinationMeetings';'022';'Chief Secretary';'must';'convene meeting';'with all central and state agencies';'-';'prior to NE monsoon';'-'
'Reg-CycloneResponse';'023';'Greater Chennai Corporation';'must';'mobilise';'human resources, saws, excavators and lorries';'Departments to support';'-';'-'
'023.002';'023.002';'(Relevant Departments)';'must';'support';'Greater Chennai Corporation';'-';'-';'-'
'024';'024';'-';'-';'-';'-';'-';'-';'-'
'024.001';'024.001';'(Missing)';'must';'make and distribute';'Communication plans';'-';'-';'with easily understandable terminology'
'024.002';'024.002';'(Missing)';'must';'perform training and maintainance';'human resources such as community based disaster response teams';'(Reg-CivilDefence 020 019 ?)';'-';'-'
'024.003';'024.003';'(Missing)';'-';'Development and exercise';'cyclone warning methods combined with cyclone shelters and evacuation plans';'-';'-';'-'
'024.004';'024.004';'(Missing)';'-';'Stockpiling and inventory';'essential supplies and equipments';'-';'-';'-'
'Reg-2015-Flood';'025';'State Government';'must';'appoint for each Zone';'Monitoring Officers';'City Zone';'Due to severe flooding';'for relief coordination'
