'File141';'Statement';'Attribute';'Attribute-link';'Deontic';'Aim';'Direct-Object';'Indirect-Object';'Activation-Condition-Content';'Execution-Constraint-Content';'Logical-combination';'Type';'file.outlinks'
'Reg-2015-Flood-Volunteers';'046';'Volunteer';'Volunteer';'may';'volunteer for disaster relief activities';'-';'Greater Chennai Corporation';'-';'with the guidance and support of GCC';'-';'8';'Volunteer Greater Chennai Corporation'
'045.015';'045.015';'Slum Clearance Boad';'TN Housing Developement Board (or Slum Clearance Board)';'must';'provide';'basic amenities';'in slums';'at all times';'-';'-';'2';'TN Housing Developement Board (or Slum Clearance Board) at all times'
'045.014';'045.014';'Public Works Department';'PWD';'must';'perform desilting';'Canals';'-';'at all times';'-';'-';'1';'PWD Waterways'
'045.013';'045.013';'Police';'Police';'must';'maintain law and order';'-';'-';'at all times';'-';'-';'2';'Police'
'045.012';'045.012';'Fire Services';'Fire Services';'must';'rescue';'citizens';'-';'during a flood';'-';'-';'2';'Fire Services'
'045.011';'045.011';'BSNL';'BSNL';'must';'maintain';'connectivity';'-';'-';'-';'-';'2';'BSNL'
'045.010';'045.010';'Assistant Engineer/Junior Engineer CMWSSB';'Junior Engineer CMWSSB';'must';'ensure';'Water Supply';'-';'at all times';'-';'-';'2';'Assistant Engineer/Junior Engineer CMWSSB CMWSSB Water supply'
'045.009';'045.009';'Assistant Engineer, TANGEDCO';'Assistant Engineer TANGEDCO';'must';'ensure';'24/7 electricity supply';'-';'at all times';'-';'-';'2';'Assistant Engineer TANGEDCO TANGEDCO'
'045.008';'045.008';'Park Overseer';'Park Overseer';'must';'remove';'Fallen Trees';'-';'-';'in compliance with the SOP';'-';'2';'Park Overseer Reg-SOP-TreeFall'
'045.007';'045.007';'Assistant Revenue Officer';'Assistant Revenue Officer';'must';'ensure readiness';'Relief Centre';'-';'at all times';'incompliance with SOP';'-';'1';'Assistant Revenue Officer Relief Centre 036.002'
'045.004';'045.004';'Sanitary Inspector';'Sanitary Inspector';'must';'address sanitation and hygiene issues';'Relief Centre';'-';'at all times';'-';'-';'2';'Sanitary Inspector Greater Chennai Corporation Relief Centre'
'045.003';'045.003';'Assistant Engineer/Junior Engineer, GCC– Electrical';'Junior Engineer, GCC– Electrical';'must';'maintain lighting';'Streets';'-';'at all times';'-';'-';'2';'Assistant Engineer/Junior Engineer, GCC– Electrical Greater Chennai Corporation Streets'
'045.002';'045.002';'Assistant Engineer / Junior Engineer GCC';'JE-GCC';'must';'perform cleaning, dewatering, evacuation, and food delivery';'Streets and waterways, Citizens';'-';'-';'-';'-';'2';'GCC JE-GCC Greater Chennai Corporation Streets Citizens'
'Con-SOP-WardCommittee';'045';'Greater Chennai Corporation';'Greater Chennai Corporation';'must';'form';'Ward Committees';'-';'-';'Responsibilities of Ward Committee Members 045.001';'-';'1';'Greater Chennai Corporation Ward Committees 045.001'
